ID,Title,Check,Type,Limit,Unit,When,Applies to,Tolerance,Warn margin,Count,Case,Severity,Status,Notes
,Structural loads,,,,,,,,,,,,,"A heading row: no status, skipped"
LV-001,Max dynamic pressure,q,upper,70,kPa,ascent,,,2 kPa,,,major,approved,
LV-002,AoA at high q,alpha,range,"[-7, 7]",deg,high_q,,100 ms,,,,major,approved,Short spikes are tolerated and listed
LV-003,Axial load in load relief,load,upper,5,g0,load_relief,,100 ms,,,load relief,critical,approved,Cases: the first matching row applies
LV-003,Axial load,load,upper,6,g0,ascent,,100 ms,,,powered,critical,approved,
LV-004,q against the Mach envelope,q,upper,"curve(q_max_vs_mach, mach)",,ascent,,,1 kPa,,,major,approved,A limit that is a curve over another signal
LV-005,Altitude reached,alt,max,>= 40 km,,,,,,,,major,approved,Aggregate: the maximum over the run
LV-006,MECO time,MECO,event,99 .. 102,s,,,,,1,,critical,approved,"Exactly one MECO, inside the window"
LV-007,Velocity at MECO,"at('MECO', speed)",value,>= 1.8 km/s,,,,,,,,critical,approved,
LV-008,Time above 60 kPa,q > 60 kPa,duration,<= 40 s,,ascent,,,,,,minor,approved,
LV-009,Total AoA exceedance,abs(alpha) > 7 deg,duration,<= 0.5 s,,,,,,,,major,approved,
,Thermal,,,,,,,,,,,,,
LV-010,Skin temperature,skin_temp,upper,420 K,,ascent,,1 s,,,,major,approved,A data gap inside the window gives WARN
LV-011,Elevon command range,elevon,range,±20,deg,"after('liftoff', 1 s)",,,,,,minor,approved,
LV-012,Coast mode after MECO,mode == 'COAST',assert,,,after('MECO'),,,,,,major,approved,
LV-013,Mean thrust in powered flight,mean(thrust),value,>= 2.1 MN,,ascent,,,,,,minor,approved,
LV-014,Pitch program start,time('pitch_start'),value,6 ± 1,s,,,,,,,minor,approved,
LV-015,Load relief duration,load_relief,duration,>= 15 s,,,,,,,,minor,approved,
LV-016,Altitude at end of run,alt,final,>= 40 km,,,,,,,,minor,approved,
LV-017,Structural modes,,,,,,,,,,,,approved,No check yet: reported as not covered
LV-018,Draft limit,q,upper,,kPa,,,,,,,,draft,Draft rows are skipped until approved
